source_path,target_path,source_symbol,target_symbol,reason,status
source/lib/repository/xidian_ids/ids_session.dart,entry/src/main/cangjie/repository/ids_session.cj,IDSSession,IDSSession,Live hidden-field direct credential continue redirect cookie and conditional captcha flow,IN_PROGRESS
source/lib/model/xidian_ids/classtable.dart,entry/src/main/cangjie/model/xidian_ids/classtable.cj,ClassTableData/ClassDetail/TimeArrangement,ClassTableData/CourseDetail/CourseSlot,Source-aligned timetable transport and week bitmap,IN_PROGRESS
source/lib/repository/xidian_ids/classtable_session.dart,entry/src/main/cangjie/repository/xidian_ids/classtable_session.cj,ClassTableSession,ClassTableSession,Real term-date arranged and unarranged Ehall request chain,IN_PROGRESS
source/lib/controller/classtable_controller.dart,entry/src/main/cangjie/controller/classtable_controller.cj,ClassTableController,ClassTableController,Refresh guard week/day filter and stable sorting,IN_PROGRESS
source/lib/page/classtable/,entry/src/main/cangjie/classtable_page.cj,ClassTablePage/ClassTableView,ClassTablePage,Simplified Chinese week/day course and unarranged UI,IN_PROGRESS
source/lib/model/xidian_ids/score.dart,entry/src/main/cangjie/model/xidian_ids/score.cj,Score/ComposeDetail,ScoreItem/ScoreSummary,Full score semantics GPA and weighted summary,IN_PROGRESS
source/lib/page/score/score_state.dart,entry/src/main/cangjie/controller/score_controller.cj,ScoreState,ScoreController,Refresh filter and weighted score statistics,IN_PROGRESS
source/lib/page/score/,entry/src/main/cangjie/academic_pages.cj,ScorePage/ScoreInfoCard,ScorePage,Richer simplified-Chinese score cards and summary,IN_PROGRESS
source/lib/repository/xidian_ids/ehall_session.dart,entry/src/main/cangjie/repository/secure_session_cipher.cj,EhallSession secure persistence,SecureSessionCipher,HUKS AES-GCM authenticated encrypted cookie storage with legacy migration,IN_PROGRESS
source/lib/model/xidian_ids/class_attendance.dart,entry/src/main/cangjie/model/xidian_ids/class_attendance.cj,ClassAttendance/ClassAttendanceDetail,ClassAttendance/ClassAttendanceDetail,All 17 columns status mapping and detail semantics,IN_PROGRESS
source/lib/repository/xidian_ids/learning_session.dart,entry/src/main/cangjie/repository/xidian_ids/learning_session.cj,LearningSession,LearningSession,Real Chaoxing SSO course dedup table parser and detail paging,IN_PROGRESS
source/lib/page/class_attendance/,entry/src/main/cangjie/class_attendance_page.cj,ClassAttendanceView/ClassAttendanceDetailView,ClassAttendancePage,Grouped cards refresh detail and pagination,IN_PROGRESS
source/lib/page/class_attendance/class_attendance_state.dart,entry/src/main/cangjie/controller/class_attendance_controller.cj,ClassAttendanceState,ClassAttendanceController,Refresh guard grouping and detail loading,IN_PROGRESS
source/lib/model/xidian_ids/library.dart,entry/src/main/cangjie/model/xidian_ids/library.cj,BookInfo/BookLocation,BookInfo/BookLocation,Public catalog and holding transport models,IN_PROGRESS
source/lib/repository/xidian_ids/library_session.dart,entry/src/main/cangjie/repository/xidian_ids/library_session.cj,LibrarySession,LibrarySession,Real OPAC public search and physical holding endpoints,IN_PROGRESS
source/lib/controller/library_controller.dart,entry/src/main/cangjie/controller/library_controller.cj,LibraryController,LibraryController,Search and location request guards,IN_PROGRESS
source/lib/page/library/,entry/src/main/cangjie/library_page.cj,LibraryWindow/SearchBookWindow,LibraryPage,Search fields pagination details and holdings UI,IN_PROGRESS
source/lib/model/network_usage.dart,entry/src/main/cangjie/model/network_usage.cj,CurrentUserNetInfo,CurrentUserNetInfo,Current campus-network account transport model,IN_PROGRESS
source/lib/repository/schoolnet_session.dart,entry/src/main/cangjie/repository/schoolnet_session.cj,SchoolnetSession,SchoolnetSession,Campus detection and rad_user_info JSONP parsing,IN_PROGRESS
source/lib/page/schoolnet/,entry/src/main/cangjie/schoolnet_page.cj,NetworkCardWindow/CurrentNetInfoPage,SchoolnetPage,Online account usage balance and device UI,IN_PROGRESS
source/lib/page/home/,entry/src/main/cangjie/index.cj,HomepageWidgetRegistry,CampusHomePage,Implemented campus service registry and navigation,IN_PROGRESS
source/lib/repository/xidian_ids/slider_captcha_client.dart,entry/src/main/cangjie/repository/slider_captcha_solver.cj,SliderCaptchaClientProvider,SliderCaptchaAutoSolver,ImageKit NCC port with source-aligned automatic retries,IN_PROGRESS

source/lib/model/dorm_water.dart,entry/src/main/cangjie/model/dorm_water.cj,DormWaterDevice,DormWaterDevice,Source-aligned drinking-water captcha and favorite-device models,IN_PROGRESS
source/lib/repository/dorm_water_session.dart,entry/src/main/cangjie/repository/dorm_water_session.cj,DormWaterSession,DormWaterSession,Real captcha SMS login device start stop status endpoints and encrypted token storage,IN_PROGRESS
source/lib/controller/dorm_water_controller.dart,entry/src/main/cangjie/controller/dorm_water_controller.cj,DormWaterController,DormWaterController,Guarded asynchronous drinking-water operations and state handoff,IN_PROGRESS
source/lib/page/dorm_water/dorm_water_page.dart,entry/src/main/cangjie/dorm_water_page.cj,DormWaterPage,DormWaterPage,SMS login favorites device control and explicit status UI with stable ids,IN_PROGRESS
source/lib/model/pda_service/custom_class.dart,entry/src/main/cangjie/model/pda_service/custom_class.cj,CustomClass/CustomClassTime,CustomClass/CustomClassTimeRange,Exact-date local course model and timetable occurrence mapping,IN_PROGRESS
source/lib/repository/custom_class_service.dart,entry/src/main/cangjie/repository/custom_class_service.cj,CustomClassService,CustomClassRepository,Preferences JSON persistence for local courses,IN_PROGRESS
source/lib/controller/custom_class_controller.dart,entry/src/main/cangjie/controller/custom_class_controller.cj,CustomClassController,CustomClassController,CRUD validation filtering and stable chronological ordering,IN_PROGRESS
source/lib/page/classtable/class_add/class_add_window.dart,entry/src/main/cangjie/custom_class_page.cj,ClassAddWindow,CustomClassPage,Local course editor list delete clear and stable IDs,IN_PROGRESS
N/A-user-approved-preview,entry/src/main/cangjie/index.cj,N/A,LoginWindow.openMockPreview,Temporary in-memory home UI preview with explicit unauthenticated banner,IN_PROGRESS
source/lib/page/homepage/home.dart,entry/src/main/cangjie/aligned_home_page.cj,HomePageMaster,AlignedHomePage,Source-ordered five-destination shell and Material-style bottom navigation,IN_PROGRESS
source/lib/page/homepage/homepage.dart,entry/src/main/cangjie/aligned_home_page.cj,MainPage,AlignedCampusPage,App bar notice schedule information cards and campus service grid,IN_PROGRESS
UI截图/0.png,entry/src/main/cangjie/aligned_home_page.cj,Campus home visual reference,AlignedCampusPage/AlignedNavItem,Reference-aligned Traditional Chinese campus cards four-column grid SVG icons and selected navigation capsule,PASS
source/lib/external/ruisi_flutter/lib/pages/home_page.dart,entry/src/main/cangjie/aligned_home_page.cj,HomePage,AlignedRuisiPage,Forum app bar category tabs and honest unauthenticated state,IN_PROGRESS
source/lib/page/toolbox/toolbox_page.dart,entry/src/main/cangjie/aligned_home_page.cj,ToolBoxPage,AlignedToolboxPage,Seven source URLs Traditional Chinese borderless rows line icons and ArkWeb opening boundary,PASS
source/lib/page/pig/pig_page.dart,entry/src/main/cangjie/aligned_home_page.cj,PigPage,AlignedPigPage,Traditional Chinese real PigHub image loading error refresh change and save-hint UI,PASS
source/lib/page/setting/setting.dart,entry/src/main/cangjie/aligned_home_page.cj,SettingWindow,AlignedSettingsPage,Source-style grouped settings cards with local theme and timeline interactions,IN_PROGRESS
source/lib/model/xidian_ids/paid_record.dart,entry/src/main/cangjie/model/xidian_ids/school_card.cj,PaidRecord,PaidRecord,Campus-card transaction model,IN_PROGRESS
source/lib/repository/xidian_ids/school_card_session.dart,entry/src/main/cangjie/repository/xidian_ids/school_card_session.cj,SchoolCardSession,SchoolCardSession,Real SSO balance records and QR request chain,IN_PROGRESS
source/lib/controller/school_card_controller.dart,entry/src/main/cangjie/controller/school_card_controller.cj,SchoolCardController,SchoolCardController,Non-reentrant campus-card actions,IN_PROGRESS
source/lib/page/schoolcard/school_card_window.dart,entry/src/main/cangjie/school_card_page.cj,SchoolCardWindow,SchoolCardPage,Balance date-range records and sensitive QR UI,IN_PROGRESS
UI截图/6.png,entry/src/main/cangjie/aligned_home_page.cj,Pig gallery visual reference,AlignedPigPage,Traditional Chinese header centered hint real image title outlined actions and selected bottom-navigation capsule,PASS
source/lib/repository/pighub_session.dart,entry/src/main/cangjie/repository/pighub_session.cj,PigHubSession/PigImage,PigHubSession/PigHubImage,Real API JSON cache random selection and immediate-repeat avoidance,PASS
UI截图/2.png,entry/src/main/cangjie/aligned_home_page.cj,Toolbox visual reference,AlignedToolboxPage/AlignedToolRow,Reference-aligned title seven rows spacing line icons copy and selected navigation capsule,PASS
